python main_coco2.py --lr 0.003 --lmbd1 100000 --lmbd2 10 --anneal 100
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================COCO========================================
{'n_restarts': 1, 'steps': 2001, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}}
step            loss            train nll       train acc       dir_w           inv_w           test nll        test acc        test prec       test rec     
1140            1.14115         0.30611         0.86250         0.29981         0.53523         0.43166         0.84803         0.84758         0.97090      
1150            3.54024         0.30377         0.86632         0.30243         2.93404         0.43898         0.85561         0.84633         0.97619      
1160            5.07673         0.31498         0.85785         0.31851         4.44325         0.45826         0.83879         0.84687         0.96561      
1170            5.67184         0.31329         0.85994         0.31797         5.04059         0.43568         0.85227         0.84722         0.96825      
1180            5.88019         0.30180         0.86653         0.29737         5.28102         0.44517         0.84136         0.84615         0.96032      
1190            3.13763         0.30667         0.86472         0.30400         2.52697         0.43211         0.85652         0.84687         0.96561      
1200            4.16279         0.31008         0.86151         0.31543         3.53728         0.44292         0.84712         0.84389         0.98677      
1210            0.96844         0.30796         0.86405         0.30981         0.35068         0.45560         0.83879         0.84687         0.96561      
1220            3.76287         0.30725         0.85981         0.30955         3.14606         0.42808         0.86242         0.84687         0.96561      
1230            5.30634         0.31233         0.85849         0.31597         4.67804         0.43536         0.85652         0.84687         0.96561      
1240            8.00866         0.31438         0.85780         0.31963         7.37465         0.42496         0.86318         0.84668         0.97884      
1250            0.98327         0.30805         0.86193         0.30693         0.36828         0.44451         0.85061         0.84687         0.96561      
1260            5.27348         0.29848         0.86810         0.28663         4.68837         0.43640         0.84470         0.84687         0.96561      
1270            2.11361         0.30928         0.85840         0.31231         1.49202         0.43372         0.86242         0.84687         0.96561      
